Node,Date,Time,GPU,Temperature,Utilization
node207,20230517,00,GPU0,65,68
node207,20230517,00,GPU1,65,78
node207,20230517,00,GPU2,67,62
node207,20230517,00,GPU3,63,81
node207,20230517,00,GPU4,65,60
node207,20230517,00,GPU5,62,83
node207,20230517,00,GPU6,60,65
node207,20230517,01,GPU0,58,96
node207,20230517,01,GPU1,57,100
node207,20230517,01,GPU2,61,60
node207,20230517,01,GPU3,57,77
node207,20230517,01,GPU4,57,100
node207,20230517,01,GPU5,55,88
node207,20230517,01,GPU6,52,47
node207,20230517,02,GPU0,62,42
node207,20230517,02,GPU1,63,66
node207,20230517,02,GPU2,64,61
node207,20230517,02,GPU3,60,91
node207,20230517,02,GPU4,62,45
node207,20230517,02,GPU5,59,39
node207,20230517,02,GPU6,58,81
node207,20230517,03,GPU0,65,73
node207,20230517,03,GPU1,66,74
node207,20230517,03,GPU2,67,100
node207,20230517,03,GPU3,63,76
node207,20230517,03,GPU4,65,100
node207,20230517,03,GPU5,62,82
node207,20230517,03,GPU6,60,95
node207,20230517,04,GPU0,65,96
node207,20230517,04,GPU1,66,74
node207,20230517,04,GPU2,67,47
node207,20230517,04,GPU3,64,30
node207,20230517,04,GPU4,65,60
node207,20230517,04,GPU5,62,99
node207,20230517,04,GPU6,61,51
node207,20230517,05,GPU0,65,100
node207,20230517,05,GPU1,65,87
node207,20230517,05,GPU2,67,94
node207,20230517,05,GPU3,62,98
node207,20230517,05,GPU4,65,87
node207,20230517,05,GPU5,61,100
node207,20230517,05,GPU6,60,100
node207,20230517,06,GPU0,61,100
node207,20230517,06,GPU1,61,96
node207,20230517,06,GPU2,63,75
node207,20230517,06,GPU3,60,98
node207,20230517,06,GPU4,62,92
node207,20230517,06,GPU5,57,100
node207,20230517,06,GPU6,56,82
node207,20230517,07,GPU0,72,100
node207,20230517,07,GPU1,66,83
node207,20230517,07,GPU2,61,47
node207,20230517,07,GPU3,71,100
node207,20230517,07,GPU4,39,0
node207,20230517,07,GPU5,45,0
node207,20230517,07,GPU6,67,94
node207,20230517,08,GPU0,61,94
node207,20230517,08,GPU1,58,98
node207,20230517,08,GPU2,61,91
node207,20230517,08,GPU3,56,94
node207,20230517,08,GPU4,60,98
node207,20230517,08,GPU5,57,94
node207,20230517,08,GPU6,52,94
node207,20230517,09,GPU0,64,63
node207,20230517,09,GPU1,65,50
node207,20230517,09,GPU2,66,60
node207,20230517,09,GPU3,63,96
node207,20230517,09,GPU4,64,66
node207,20230517,09,GPU5,61,71
node207,20230517,09,GPU6,59,59
node207,20230517,10,GPU0,70,96
node207,20230517,10,GPU1,66,95
node207,20230517,10,GPU2,70,95
node207,20230517,10,GPU3,68,99
node207,20230517,10,GPU4,68,97
node207,20230517,10,GPU5,62,93
node207,20230517,10,GPU6,63,95
node207,20230517,11,GPU0,57,94
node207,20230517,11,GPU1,57,100
node207,20230517,11,GPU2,58,88
node207,20230517,11,GPU3,56,67
node207,20230517,11,GPU4,57,99
node207,20230517,11,GPU5,58,100
node207,20230517,11,GPU6,54,61
node207,20230517,12,GPU0,62,90
node207,20230517,12,GPU1,60,93
node207,20230517,12,GPU2,62,98
node207,20230517,12,GPU3,58,96
node207,20230517,12,GPU4,60,98
node207,20230517,12,GPU5,57,90
node207,20230517,12,GPU6,55,99
node207,20230517,13,GPU0,63,100
node207,20230517,13,GPU1,63,76
node207,20230517,13,GPU2,65,76
node207,20230517,13,GPU3,62,100
node207,20230517,13,GPU4,64,79
node207,20230517,13,GPU5,59,100
node207,20230517,13,GPU6,58,98
node207,20230517,14,GPU0,65,100
node207,20230517,14,GPU1,64,100
node207,20230517,14,GPU2,66,84
node207,20230517,14,GPU3,64,90
node207,20230517,14,GPU4,63,91
node207,20230517,14,GPU5,62,100
node207,20230517,14,GPU6,60,84
node207,20230517,15,GPU0,72,99
node207,20230517,15,GPU1,69,100
node207,20230517,15,GPU2,74,100
node207,20230517,15,GPU3,71,99
node207,20230517,15,GPU4,68,98
node207,20230517,15,GPU5,67,100
node207,20230517,15,GPU6,65,99
node207,20230517,16,GPU0,66,90
node207,20230517,16,GPU1,67,100
node207,20230517,16,GPU2,68,89
node207,20230517,16,GPU3,64,94
node207,20230517,16,GPU4,67,100
node207,20230517,16,GPU5,62,89
node207,20230517,16,GPU6,61,95
node207,20230517,17,GPU0,65,93
node207,20230517,17,GPU1,65,99
node207,20230517,17,GPU2,68,61
node207,20230517,17,GPU3,64,68
node207,20230517,17,GPU4,68,96
node207,20230517,17,GPU5,62,98
node207,20230517,17,GPU6,59,48
node207,20230517,18,GPU0,72,99
node207,20230517,18,GPU1,69,99
